CustomerId;Gender;Age;HomeStoreId;LoyaltySegment;RegistrationDate
200001;Kobieta;56;1002;VIP;2026-04-27
200002;Kobieta;27;1007;Regular;2025-10-17
200003;Kobieta;17;1007;Occasional;2024-10-18
200004;Kobieta;43;1004;VIP;2022-05-28
200005;Kobieta;31;1015;New;2021-01-02
200006;Kobieta;38;1006;Regular;2024-04-21
200007;Kobieta;51;1015;Occasional;2021-01-15
200008;Mężczyzna;39;1017;Occasional;2024-10-06
200009;Kobieta;36;1012;VIP;2024-03-23
200010;Kobieta;53;1006;Regular;2026-03-30
200011;Kobieta;37;1004;Regular;2024-01-22
200012;Kobieta;16;1007;Regular;2025-12-06
200013;Kobieta;30;1016;VIP;2022-04-01
200014;Kobieta;43;1004;Occasional;2025-05-08
200015;Mężczyzna;31;1004;Occasional;2025-06-28
200016;Kobieta;16;1012;Occasional;2021-02-07
200017;Kobieta;21;1006;Occasional;2024-11-09
200018;Kobieta;20;1009;Regular;2026-02-20
200019;Kobieta;58;1012;Regular;2021-05-21
200020;Kobieta;44;1015;Regular;2021-01-24
200021;Kobieta;50;1002;Occasional;2025-04-10
200022;Kobieta;16;1002;VIP;2023-07-12
200023;Kobieta;25;1005;VIP;2021-11-29
200024;Kobieta;51;1004;Regular;2021-08-19
200025;Kobieta;28;1017;Regular;2021-06-27
200026;Mężczyzna;32;1016;Occasional;2024-12-24
200027;Kobieta;45;1005;Occasional;2021-12-04
200028;Kobieta;25;1002;Regular;2022-08-26
200029;Kobieta;31;1016;Regular;2022-11-02
200030;Kobieta;29;1017;Occasional;2023-06-19
200031;Mężczyzna;53;1004;New;2021-06-02
200032;Kobieta;43;1008;Occasional;2025-07-13
200033;Kobieta;49;1010;New;2025-06-10
200034;Kobieta;29;1010;Regular;2021-05-01
200035;Mężczyzna;43;1010;Occasional;2024-10-25
200036;Kobieta;21;1014;Regular;2021-07-15
200037;Mężczyzna;28;1006;Occasional;2021-11-25
200038;Kobieta;31;1012;VIP;2022-10-07
200039;Kobieta;43;1005;Regular;2022-02-25
200040;Mężczyzna;33;1017;Regular;2022-10-16
200041;Kobieta;35;1012;Occasional;2023-12-14
200042;Kobieta;43;1015;New;2024-04-10
200043;Kobieta;29;1016;Occasional;2024-05-12
200044;Mężczyzna;62;1014;Regular;2022-03-22
200045;Kobieta;33;1005;Occasional;2024-02-13
200046;Kobieta;18;1009;Regular;2024-02-07
200047;Kobieta;35;1009;Occasional;2025-12-07
200048;Kobieta;32;1011;Regular;2024-02-22
200049;Kobieta;60;1015;Occasional;2023-08-14
200050;Kobieta;27;1017;Regular;2026-01-01
200051;Kobieta;44;1006;Regular;2023-07-12
200052;Kobieta;16;1009;Occasional;2023-11-20
