ProductId;ProductName;Manufacturer;Category;Subcategory;IsPrivateLabel;CurrentPrice;CurrentUnitCost;Capacity;VAT_Rate;ProductStatus;IsEcoVegan;PriceSegment
10001;VelvetLine Usta Long-lasting 30ml;VelvetLine;Makijaż;Usta;0;152,1;60,84;30ml;0,23;Active;0;Premium
10002;VelvetLine Twarz Long-lasting 8ml;VelvetLine;Makijaż;Twarz;0;32,2;12,88;8ml;0,23;Active;0;Economy
10003;DermaGlow Krem na noc Przeciwzmarszczkowy 150ml;DermaGlow;Pielęgnacja twarzy;Kremy na noc;0;115,88;52,15;150ml;0,23;Active;1;Premium
10004;Veluria Krem na noc Matujący 30ml;Veluria;Pielęgnacja twarzy;Kremy na noc;0;118,91;53,51;30ml;0,23;Active;0;Premium
10005;PureCare Wkładki Ochronny 200ml;PureCare;Higiena intymna;Wkładki;0;11,09;7,21;200ml;0,23;Active;1;Economy
10006;VitaCore Odporność D3 2000 j.m. 60 kaps.;VitaCore;Suplementy i Zdrowie;Odporność;0;56,56;31,11;kaps.;0,08;Active;0;Mid-Market
10007;BotanicaPro Odżywki Odbudowujący 250ml;BotanicaPro;Włosy;Odżywki;0;19,15;10,53;250ml;0,23;Active;1;Economy
10008;NutriMax Witaminy Magnez + B6 60 kaps.;NutriMax;Suplementy i Zdrowie;Witaminy;0;65,04;35,77;kaps.;0,08;Active;1;Mid-Market
10009;Aura Basic Wkładki Ochronny 40 szt.;Aura Basic;Higiena intymna;Wkładki;1;12,17;5,48;szt.;0,23;Active;0;Economy
10010;Aura Care Żele do mycia Z witaminą C 50ml;Aura Care;Pielęgnacja twarzy;Żele do mycia;1;48,57;12,14;50ml;0,23;Active;1;Economy
10011;ColorAura Twarz Wodoodporny 30ml;ColorAura;Makijaż;Twarz;0;32,12;12,85;30ml;0,23;Active;0;Economy
10012;SilkMane Stylizacja Odbudowujący 250ml;SilkMane;Włosy;Stylizacja;0;39,23;21,58;250ml;0,23;Active;0;Mid-Market
10013;DermaGlow Krem na dzień Nawilżający 30ml;DermaGlow;Pielęgnacja twarzy;Kremy na dzień;0;124,92;56,21;30ml;0,23;Phase-Out;1;Premium
10014;PureCare Podpaski Normal 40 szt.;PureCare;Higiena intymna;Podpaski;0;12,1;7,87;szt.;0,23;Phase-Out;1;Economy
10015;Aura Kids Chusteczki Sensitive 40 szt.;Aura Kids;Dziecko;Chusteczki;1;10,9;6,54;szt.;0,23;Active;0;Economy
10016;DermaGlow Żele do mycia Matujący 50ml;DermaGlow;Pielęgnacja twarzy;Żele do mycia;0;39,7;17,86;50ml;0,23;Active;0;Economy
10017;LumiSkin Żele do mycia Przeciwzmarszczkowy 30ml;LumiSkin;Pielęgnacja twarzy;Żele do mycia;0;130,36;58,66;30ml;0,23;Active;1;Premium
10018;ColorAura Usta Long-lasting 30ml;ColorAura;Makijaż;Usta;0;116,78;46,71;30ml;0,23;Active;0;Premium
10019;FreshGlow Podpaski Normal 40 szt.;FreshGlow;Higiena intymna;Podpaski;0;22,86;14,86;szt.;0,23;Active;0;Premium
10020;SilkMane Maski Przeciwłupieżowy 500ml;SilkMane;Włosy;Maski;0;28,82;15,85;500ml;0,23;Active;0;Economy
10021;SoftTouch Wkładki Ochronny 200ml;SoftTouch;Higiena intymna;Wkładki;0;26,59;17,28;200ml;0,23;Discontinued;0;Premium
10022;Aura Beauty Oczy Wodoodporny 8ml;Aura Beauty;Makijaż;Oczy;1;88,94;17,79;8ml;0,23;Active;0;Mid-Market
10023;Aura Care Sera Matujący 30ml;Aura Care;Pielęgnacja twarzy;Sera;1;71,04;17,76;30ml;0,23;Discontinued;1;Mid-Market
10024;PureBotanica Krem na dzień Z witaminą C 50ml;PureBotanica;Pielęgnacja twarzy;Kremy na dzień;0;21,4;9,63;50ml;0,23;Active;1;Economy
10025;PureBotanica Krem na noc Z witaminą C 150ml;PureBotanica;Pielęgnacja twarzy;Kremy na noc;0;133,4;60,03;150ml;0,23;Phase-Out;1;Premium
10026;ScentMaison EDT Fresh 100ml;ScentMaison;Perfumy;EDT;0;309,71;108,4;100ml;0,23;Active;0;Premium
10027;VelvetLine Oczy Long-lasting 8ml;VelvetLine;Makijaż;Oczy;0;123,85;49,54;8ml;0,23;Active;1;Premium
10028;VelvetLine Twarz Long-lasting 15g;VelvetLine;Makijaż;Twarz;0;121,31;48,52;15g;0,23;Phase-Out;0;Premium
10029;PureCare Wkładki Normal 200ml;PureCare;Higiena intymna;Wkładki;0;20,59;13,38;200ml;0,23;Active;1;Premium
10030;GlamTouch Oczy Matujący 8ml;GlamTouch;Makijaż;Oczy;0;88,56;35,42;8ml;0,23;Active;0;Mid-Market
10031;Aura Kids Pieluchy Rozmiar 4 500ml;Aura Kids;Dziecko;Pieluchy;1;43,17;25,9;500ml;0,23;Active;0;Mid-Market
10032;HealthSpark Minerały D3 2000 j.m. 60 kaps.;HealthSpark;Suplementy i Zdrowie;Minerały;0;80,46;44,25;kaps.;0,08;Phase-Out;0;Premium
10033;Aura Care Szampon Nawilżająca 500ml;Aura Care;Włosy;Szampony;1;40,08;14,03;500ml;0,23;Active;1;Mid-Market
10034;VigorHair Odżywki Przeciwłupieżowy 400ml;VigorHair;Włosy;Odżywki;0;37,39;20,56;400ml;0,23;Active;0;Mid-Market
10035;Aura Kids Kosmetyki Nawilżane 500ml;Aura Kids;Dziecko;Kosmetyki;1;60,27;36,16;500ml;0,23;Phase-Out;0;Premium
10036;SilkMane Stylizacja Odbudowujący 250ml;SilkMane;Włosy;Stylizacja;0;54,28;29,85;250ml;0,23;Active;0;Mid-Market
